Site_Name,Year,Month,Date,Value
Site1322,2026,7,7/1/2026,70
Site1322,2026,8,8/1/2026,66
Site1322,2026,9,9/1/2026,60
Site1322,2026,10,10/1/2026,66
Site1322,2026,11,11/1/2026,63
Site1322,2026,12,12/1/2026,66
Site1322,2027,1,1/1/2027,63
Site1322,2027,2,2/1/2027,67
Site1322,2027,3,3/1/2027,65
Site1322,2027,4,4/1/2027,75
Site1322,2027,5,5/1/2027,70
Site1322,2027,6,6/1/2027,64
Site1322,2027,7,7/1/2027,70
Site1322,2027,8,8/1/2027,76
Site1322,2027,9,9/1/2027,82
Site1322,2027,10,10/1/2027,77
Site1322,2027,11,11/1/2027,79
Site1322,2027,12,12/1/2027,76
Site1322,2028,1,1/1/2028,70
Site1322,2028,2,2/1/2028,68
Site1322,2028,3,3/1/2028,73
Site1322,2028,4,4/1/2028,68
Site1322,2028,5,5/1/2028,73
Site1322,2028,6,6/1/2028,82
Site1322,2028,7,7/1/2028,72
Site1322,2028,8,8/1/2028,80
Site1322,2028,9,9/1/2028,90
Site1322,2028,10,10/1/2028,81
Site1322,2028,11,11/1/2028,76
Site1322,2028,12,12/1/2028,79
Site1322,2029,1,1/1/2029,73
Site1322,2029,2,2/1/2029,73
Site1322,2029,3,3/1/2029,65
Site1322,2029,4,4/1/2029,68
Site1322,2029,5,5/1/2029,62
Site1322,2029,6,6/1/2029,70
Site1322,2029,7,7/1/2029,62
Site1322,2029,8,8/1/2029,53
Site1322,2029,9,9/1/2029,60
Site1322,2029,10,10/1/2029,66
Site1322,2029,11,11/1/2029,60
Site1322,2029,12,12/1/2029,64
Site1322,2030,1,1/1/2030,60
Site1322,2030,2,2/1/2030,64
Site1322,2030,3,3/1/2030,62
Site1322,2030,4,4/1/2030,67
Site1322,2030,5,5/1/2030,58
Site1322,2030,6,6/1/2030,55
Site1322,2030,7,7/1/2030,46
Site1322,2030,8,8/1/2030,50
Site1322,2030,9,9/1/2030,49
Site1322,2030,10,10/1/2030,45
Site1322,2030,11,11/1/2030,42
Site1322,2030,12,12/1/2030,50
Site1322,2031,1,1/1/2031,45
Site1322,2031,2,2/1/2031,54
Site1322,2031,3,3/1/2031,46
Site1322,2031,4,4/1/2031,37
Site1322,2031,5,5/1/2031,35
Site1322,2031,6,6/1/2031,39
Site1322,2031,7,7/1/2031,36
Site1322,2031,8,8/1/2031,41
Site1322,2031,9,9/1/2031,38
Site1322,2031,10,10/1/2031,45
Site1322,2031,11,11/1/2031,38
Site1322,2031,12,12/1/2031,44
Site1322,2032,1,1/1/2032,37
Site1322,2032,2,2/1/2032,31
Site1322,2032,3,3/1/2032,34
Site1322,2032,4,4/1/2032,32
Site1322,2032,5,5/1/2032,25
Site1322,2032,6,6/1/2032,30
Site1322,2032,7,7/1/2032,22
Site1322,2032,8,8/1/2032,26
Site1322,2032,9,9/1/2032,22
Site1322,2032,10,10/1/2032,24
Site1322,2032,11,11/1/2032,18
Site1322,2032,12,12/1/2032,18
Site1322,2033,1,1/1/2033,19
Site1322,2033,2,2/1/2033,15
Site1322,2033,3,3/1/2033,22
Site1322,2033,4,4/1/2033,20
Site1322,2033,5,5/1/2033,16
Site1322,2033,6,6/1/2033,24
Site1322,2033,7,7/1/2033,14
Site1322,2033,8,8/1/2033,12
Site1322,2033,9,9/1/2033,22
Site1322,2033,10,10/1/2033,17
Site1322,2033,11,11/1/2033,13
Site1322,2033,12,12/1/2033,20
Site1322,2034,1,1/1/2034,19
Site1322,2034,2,2/1/2034,28
Site1322,2034,3,3/1/2034,22
Site1322,2034,4,4/1/2034,24
Site1322,2034,5,5/1/2034,24
Site1322,2034,6,6/1/2034,23
Site1322,2034,7,7/1/2034,27
Site1322,2034,8,8/1/2034,18
Site1322,2034,9,9/1/2034,14
Site1322,2034,10,10/1/2034,18
Site1322,2034,11,11/1/2034,22
Site1322,2034,12,12/1/2034,27
Site1322,2035,1,1/1/2035,34
Site1322,2035,2,2/1/2035,36
Site1322,2035,3,3/1/2035,32
Site1322,2035,4,4/1/2035,24
Site1322,2035,5,5/1/2035,26
Site1322,2035,6,6/1/2035,23
Site1322,2035,7,7/1/2035,26
Site1322,2035,8,8/1/2035,17
Site1322,2035,9,9/1/2035,12
Site1322,2035,10,10/1/2035,20
Site1322,2035,11,11/1/2035,22
Site1322,2035,12,12/1/2035,28
Site1322,2036,1,1/1/2036,33
Site1322,2036,2,2/1/2036,38
Site1322,2036,3,3/1/2036,46
Site1322,2036,4,4/1/2036,36
Site1322,2036,5,5/1/2036,39
Site1322,2036,6,6/1/2036,36
Site1322,2036,7,7/1/2036,45
Site1322,2036,8,8/1/2036,39
Site1322,2036,9,9/1/2036,43
Site1322,2036,10,10/1/2036,43
Site1322,2036,11,11/1/2036,44
Site1322,2036,12,12/1/2036,37
Site1322,2037,1,1/1/2037,37
Site1322,2037,2,2/1/2037,45
Site1322,2037,3,3/1/2037,52
Site1322,2037,4,4/1/2037,62
Site1322,2037,5,5/1/2037,70
Site1322,2037,6,6/1/2037,69
Site1322,2037,7,7/1/2037,70
Site1322,2037,8,8/1/2037,80
Site1322,2037,9,9/1/2037,72
Site1322,2037,10,10/1/2037,80
Site1322,2037,11,11/1/2037,85
Site1322,2037,12,12/1/2037,81
Site1322,2038,1,1/1/2038,76
Site1322,2038,2,2/1/2038,68
Site1322,2038,3,3/1/2038,67
Site1322,2038,4,4/1/2038,68
Site1322,2038,5,5/1/2038,71
Site1322,2038,6,6/1/2038,72
Site1322,2038,7,7/1/2038,79
Site1322,2038,8,8/1/2038,70
Site1322,2038,9,9/1/2038,63
Site1322,2038,10,10/1/2038,63
Site1322,2038,11,11/1/2038,71
Site1322,2038,12,12/1/2038,67
Site1322,2039,1,1/1/2039,75
Site1322,2039,2,2/1/2039,68
Site1322,2039,3,3/1/2039,71
Site1322,2039,4,4/1/2039,63
Site1322,2039,5,5/1/2039,70
Site1322,2039,6,6/1/2039,67
Site1322,2039,7,7/1/2039,63
Site1322,2039,8,8/1/2039,62
Site1322,2039,9,9/1/2039,67
Site1322,2039,10,10/1/2039,63
Site1322,2039,11,11/1/2039,59
Site1322,2039,12,12/1/2039,64
Site1322,2040,1,1/1/2040,71
Site1322,2040,2,2/1/2040,80
Site1322,2040,3,3/1/2040,80
Site1322,2040,4,4/1/2040,79
Site1322,2040,5,5/1/2040,88
Site1322,2040,6,6/1/2040,80
Site1322,2040,7,7/1/2040,79
Site1322,2040,8,8/1/2040,71
Site1322,2040,9,9/1/2040,75
Site1322,2040,10,10/1/2040,80
Site1322,2040,11,11/1/2040,87
Site1322,2040,12,12/1/2040,81
Site1322,2041,1,1/1/2041,75
Site1322,2041,2,2/1/2041,77
Site1322,2041,3,3/1/2041,84
Site1322,2041,4,4/1/2041,91
Site1322,2041,5,5/1/2041,82
Site1322,2041,6,6/1/2041,87
Site1322,2041,7,7/1/2041,80
Site1322,2041,8,8/1/2041,76
Site1322,2041,9,9/1/2041,74
Site1322,2041,10,10/1/2041,70
Site1322,2041,11,11/1/2041,71
Site1322,2041,12,12/1/2041,70
Site1322,2042,1,1/1/2042,68
Site1322,2042,2,2/1/2042,67
Site1322,2042,3,3/1/2042,62
Site1322,2042,4,4/1/2042,70
Site1322,2042,5,5/1/2042,65
Site1322,2042,6,6/1/2042,56
Site1322,2042,7,7/1/2042,55
Site1322,2042,8,8/1/2042,55
Site1322,2042,9,9/1/2042,54
Site1322,2042,10,10/1/2042,55
Site1322,2042,11,11/1/2042,52
Site1322,2042,12,12/1/2042,47
Site1322,2043,1,1/1/2043,49
Site1322,2043,2,2/1/2043,39
Site1322,2043,3,3/1/2043,39
Site1322,2043,4,4/1/2043,34
Site1322,2043,5,5/1/2043,32
Site1322,2043,6,6/1/2043,34
Site1322,2043,7,7/1/2043,36
Site1322,2043,8,8/1/2043,44
Site1322,2043,9,9/1/2043,54
Site1322,2043,10,10/1/2043,52
Site1322,2043,11,11/1/2043,48
Site1322,2043,12,12/1/2043,39
Site1322,2044,1,1/1/2044,34
Site1322,2044,2,2/1/2044,37
Site1322,2044,3,3/1/2044,38
Site1322,2044,4,4/1/2044,37
Site1322,2044,5,5/1/2044,34
Site1322,2044,6,6/1/2044,41
Site1322,2044,7,7/1/2044,41
Site1322,2044,8,8/1/2044,38
Site1322,2044,9,9/1/2044,45
Site1322,2044,10,10/1/2044,49
Site1322,2044,11,11/1/2044,49
Site1322,2044,12,12/1/2044,56
Site1322,2045,1,1/1/2045,49
Site1322,2045,2,2/1/2045,45
Site1322,2045,3,3/1/2045,41
Site1322,2045,4,4/1/2045,43
Site1322,2045,5,5/1/2045,51
Site1322,2045,6,6/1/2045,44
Site1322,2045,7,7/1/2045,44
Site1322,2045,8,8/1/2045,37
Site1322,2045,9,9/1/2045,46
Site1322,2045,10,10/1/2045,42
Site1322,2045,11,11/1/2045,37
Site1322,2045,12,12/1/2045,47
Site1322,2046,1,1/1/2046,43
Site1322,2046,2,2/1/2046,39
Site1322,2046,3,3/1/2046,47
Site1322,2046,4,4/1/2046,45
Site1322,2046,5,5/1/2046,40
Site1322,2046,6,6/1/2046,42
Site1322,2046,7,7/1/2046,48
Site1322,2046,8,8/1/2046,46
Site1322,2046,9,9/1/2046,49
Site1322,2046,10,10/1/2046,55
Site1322,2046,11,11/1/2046,58
Site1322,2046,12,12/1/2046,66
Site1322,2047,1,1/1/2047,71
Site1322,2047,2,2/1/2047,63
Site1322,2047,3,3/1/2047,57
Site1322,2047,4,4/1/2047,48
Site1322,2047,5,5/1/2047,39
Site1322,2047,6,6/1/2047,46
Site1322,2047,7,7/1/2047,54
Site1322,2047,8,8/1/2047,45
Site1322,2047,9,9/1/2047,50
Site1322,2047,10,10/1/2047,54
Site1322,2047,11,11/1/2047,51
Site1322,2047,12,12/1/2047,49
Site1322,2048,1,1/1/2048,53
Site1322,2048,2,2/1/2048,55
Site1322,2048,3,3/1/2048,48
Site1322,2048,4,4/1/2048,57
Site1322,2048,5,5/1/2048,49
Site1322,2048,6,6/1/2048,48
Site1322,2048,7,7/1/2048,45
Site1322,2048,8,8/1/2048,42
Site1322,2048,9,9/1/2048,33
Site1322,2048,10,10/1/2048,41
Site1322,2048,11,11/1/2048,46
Site1322,2048,12,12/1/2048,47
Site1322,2049,1,1/1/2049,50
Site1322,2049,2,2/1/2049,46
Site1322,2049,3,3/1/2049,52
Site1322,2049,4,4/1/2049,44
Site1322,2049,5,5/1/2049,47
Site1322,2049,6,6/1/2049,46
Site1322,2049,7,7/1/2049,56
Site1322,2049,8,8/1/2049,61
Site1322,2049,9,9/1/2049,66
Site1322,2049,10,10/1/2049,61
Site1322,2049,11,11/1/2049,67
Site1322,2049,12,12/1/2049,65
Site1322,2050,1,1/1/2050,61
Site1322,2050,2,2/1/2050,54
Site1322,2050,3,3/1/2050,59
Site1322,2050,4,4/1/2050,61
Site1322,2050,5,5/1/2050,63
Site1322,2050,6,6/1/2050,54
Site1322,2050,7,7/1/2050,56
Site1322,2050,8,8/1/2050,49
Site1322,2050,9,9/1/2050,52
Site1322,2050,10,10/1/2050,56
Site1322,2050,11,11/1/2050,55
Site1322,2050,12,12/1/2050,57
