Site_ID,Site_Name,Site_City,Site_Area,Site_Cluster,Site_Room,Site_Type,Site_Scene,Site_Longitude,Site_Latitude,Power_Supply_Type,Power_Supply_PV_Panels_Current,Power_Supply_PV_Specification_Current,Power_Supply_PV_Annual_Current,Power_Supply_PV_Panels_Tobe,Power_Supply_PV_Specification_Tobe,Power_Supply_PV_Annual_Tobe,Rectifier_Model_Current,Rectifier_Deployment_Year,Rectifier_Efficiency_Current,Rectifier_Efficiency_Tobe,Battery_Type_Current,Cooling_Type,Power_Consumption_Aircondition,Power_Consumption_FCS,Power_Consumption_Aircondition_Outdoor,Power_Consumption_FCS_Outdoor,Cooling_Aircondition_Working_Hours_Current,Cooling_FCS_Working_Hours_Current,Cooling_Aircondition_Working_Hours_Tobe,Cooling_FCS_Working_Hours_Tobe,Cooling_Aircondition_Working_Hours_Outdoor,Cooling_FCS_Working_Hours_Outdoor,Data_Volume_234G_Month,Data_Volume_5G_Month,Alpha,Power_Star_Activation,Power_Star_Efficiency_234G,Power_Star_Efficiency_5G,Power_Consumption_Site_Radio_234G,Power_Consumption_Site_Tower_234G,Power_Consumption_Site_Radio_5G,grid_id,Power_Supply_PV_Out,5G_Deployment_Year,Power_Saving_Total
11,Site11,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.436481,27.70115,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3674,964.0775146,2031,0
12,Site12,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.43081,27.68548,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,3408,963.1640015,2035,0
13,Site13,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.41136,27.67114,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,3268,957.8680115,2037,0
14,Site14,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.41942,27.67775,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,3269,957.6855164,2033,0
15,Site15,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.41942,27.67775,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,3269,957.6855164,2029,0
16,Site16,娄底,冷江,Cluster_1,Indoor,Macro,Urban,111.432651,27.691989,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.1,3702,3400,2019,3541,962.7990112,2038,0
17,Site17,娄底,冷江,Cluster_1,Indoor,Macro,Urban,111.429638,27.688402,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,3,843,0,0.05,0.1,2542,2000,2019,3408,963.1640015,2034,0
18,Site18,娄底,冷江,Cluster_1,Indoor,Macro,Suburban,111.430556,27.68672,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,3408,963.1640015,2029,0
19,Site19,娄底,冷江,Cluster_1,Outdoor,Macro,Suburban,111.56991,27.77189,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,4721,1003.707001,2030,0
20,Site20,娄底,冷江,Cluster_1,Indoor,Macro,Suburban,111.40658,27.71009,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,,843,0,0.02,0,1835,1500,0,3803,962.0689697,2025,0
21,Site21,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.59966,27.71245,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,1,843,0,0.02,0.1,1835,1500,1493,3822,980.6959839,2030,0
22,Site22,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.5038,27.76712,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,4583,969.0079956,2029,0
23,Site23,娄底,冷江,Cluster_1,Outdoor,Macro,Rural,111.51123,27.65454,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,2999,970.1040039,2025,0
24,Site24,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.5924,27.69376,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,3557,981.7919922,2030,0
25,Site25,娄底,冷江,Cluster_1,Indoor,Macro,Rural,111.4929,27.81287,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,5243,987.6359863,2034,0
26,Site26,娄底,冷江,Cluster_2,Indoor,Macro,Rural,111.43501,27.66397,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,3132,957.6859741,2039,0
27,Site27,娄底,冷江,Cluster_2,Indoor,Macro,Urban,111.43501,27.66397,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3132,957.6859741,2022,0
28,Site28,娄底,冷江,Cluster_2,Outdoor,Macro,Urban,111.45725,27.65943,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,2993,955.4940186,2031,0
29,Site29,娄底,冷江,Cluster_2,Outdoor,Macro,Urban,111.55396,27.7711,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,4719,1008.090027,2027,0
30,Site30,娄底,冷江,Cluster_2,Outdoor,Macro,Urban,111.42228,27.68685,grid+generator,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery,FCS,450,70,450,70,0,8760,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3407,963.1640015,2026,0
31,Site31,娄底,冷江,Cluster_2,Outdoor,Macro,Suburban,111.53211,27.61613,grid+generator,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,2476,968.6430054,2028,0
32,Site32,娄底,冷江,Cluster_2,Indoor,Macro,Suburban,111.4589,27.66845,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery+high-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,1,843,0,0.05,0.1,3702,3400,1493,3135,958.7810059,2028,0
33,Site33,娄底,冷江,Cluster_2,Indoor,Macro,Suburban,111.4589,27.66845,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3135,958.7810059,2028,0
34,Site34,娄底,冷江,Cluster_2,Indoor,Macro,Suburban,111.435568,27.684842,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,3408,963.1640015,2032,0
35,Site35,娄底,冷江,Cluster_2,Indoor,Macro,Suburban,111.435568,27.684842,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3408,963.1640015,2025,0
36,Site36,娄底,冷江,Cluster_2,Indoor,Macro,Rural,111.4517,27.67097,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,3272,960.2420044,2038,0
37,Site37,娄底,冷江,Cluster_2,Indoor,Macro,Rural,111.36421,27.61137,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,2337,960.9730225,2028,0
38,Site38,娄底,冷江,Cluster_2,Indoor,Macro,Rural,111.59231,27.67001,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,22,,843,0,0.05,0,2542,2000,0,3148,972.6610107,2030,0
39,Site39,娄底,冷江,Cluster_2,Indoor,Macro,Rural,111.45426,27.66544,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,3134,959.5120239,2026,0
40,Site40,娄底,冷江,Cluster_2,Indoor,Macro,Rural,111.41681,27.683346,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.1,3702,3400,2019,3406,963.8950195,2036,0
41,Site41,娄底,冷江,Cluster_2,Indoor,Macro,Rural,111.47646,27.72265,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,3,843,0,0.05,0.1,2542,2000,2019,3939,955.4940186,2035,0
42,Site42,娄底,冷江,Cluster_2,Indoor,Macro,Urban,111.56198,27.76199,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,4589,997.132019,2029,0
43,Site43,娄底,冷江,Cluster_2,Outdoor,Macro,Urban,111.42829,27.67761,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,3270,957.3200073,2032,0
44,Site44,娄底,冷江,Cluster_2,Indoor,Macro,Suburban,111.44342,27.69374,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,,843,0,0.02,0,1835,1500,0,3542,960.7900085,2023,0
45,Site45,娄底,冷江,Cluster_2,Indoor,Macro,Suburban,111.44342,27.69374,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,1,843,0,0.02,0.1,1835,1500,1493,3542,960.7900085,2032,0
46,Site46,娄底,冷江,Cluster_3,Indoor,Macro,Suburban,111.44701,27.69003,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,3542,960.7900085,2030,0
47,Site47,娄底,冷江,Cluster_3,Outdoor,Macro,Rural,111.44701,27.69003,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,3542,960.7900085,2038,0
48,Site48,娄底,冷江,Cluster_3,Indoor,Macro,Rural,111.42922,27.68884,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,3541,962.7990112,2027,0
49,Site49,娄底,冷江,Cluster_3,Indoor,Macro,Rural,111.49058,27.74365,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,4323,956.9550171,2028,0
50,Site50,娄底,冷江,Cluster_3,Indoor,Macro,Rural,111.45737,27.73691,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,4192,972.2960205,2034,0
51,Site51,娄底,冷江,Cluster_3,Outdoor,Macro,Rural,111.433894,27.683008,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3408,963.1640015,2024,0
52,Site52,娄底,冷江,Cluster_3,Outdoor,Macro,Rural,111.433894,27.683008,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3408,963.1640015,2029,0
53,Site53,娄底,冷江,Cluster_3,Indoor,Macro,Urban,111.40777,27.6683,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,High-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3130,960.9730225,2033,0
54,Site54,娄底,冷江,Cluster_3,Outdoor,Macro,Urban,111.42702,27.62035,grid+generator,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery,FCS,450,70,450,70,0,8760,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,2465,957.6859741,2035,0
55,Site55,娄底,冷江,Cluster_3,Outdoor,Macro,Urban,111.42702,27.62035,grid+generator,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,2465,957.6859741,2037,0
56,Site56,娄底,冷江,Cluster_3,Indoor,Macro,Urban,111.41944,27.61481,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,2343,958.7810059,2030,0
57,Site57,娄底,冷江,Cluster_3,Indoor,Macro,Suburban,111.51956,27.80149,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,5113,1001.515991,2028,0
58,Site58,娄底,冷江,Cluster_3,Indoor,Macro,Suburban,111.56066,27.74665,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,4330,977.0440063,2023,0
59,Site59,娄底,冷江,Cluster_3,Indoor,Macro,Suburban,111.55601,27.67089,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,,843,0,0.05,0,3935,0,0,3282,983.4360046,2031,0
60,Site60,娄底,冷江,Cluster_3,Indoor,Macro,Suburban,111.39993,27.6095,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,2341,960.9730225,2024,0
61,Site61,娄底,冷江,Cluster_3,Indoor,Macro,Suburban,111.39993,27.6095,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,22,,843,0,0.05,0,2542,2000,0,2341,960.9730225,2025,0
62,Site62,娄底,冷江,Cluster_3,Indoor,Macro,Rural,111.39903,27.62419,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,2463,956.9550171,2028,0
63,Site63,娄底,冷江,Cluster_3,Indoor,Macro,Rural,111.49138,27.64322,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,2730,963.5300293,2022,0
64,Site64,娄底,冷江,Cluster_3,Indoor,Macro,Rural,111.53721,27.62551,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.1,3702,3400,2019,2604,969.7390137,2036,0
65,Site65,娄底,冷江,Cluster_3,Indoor,Macro,Rural,111.4136,27.65772,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,3,843,0,0.05,0.1,2542,2000,2019,2989,959.1459961,2026,0
66,Site66,娄底,冷江,Cluster_3,Indoor,Macro,Rural,111.462409,27.661455,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,24,1,843,0,0.05,0.1,2542,2000,1493,2994,959.5120239,2028,0
67,Site67,娄底,冷江,Cluster_3,Outdoor,Macro,Rural,111.462409,27.661455,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,2994,959.5120239,2026,0
68,Site68,娄底,冷江,Cluster_3,Indoor,Macro,Urban,111.441514,27.668327,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,,843,0,0.02,0,1835,1500,0,3133,959.1465149,2037,0
69,Site69,娄底,冷江,Cluster_3,Indoor,Macro,Urban,111.44514,27.67032,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,15,1,843,0,0.02,0.1,1835,1500,1493,3133,959.1465149,2031,0
70,Site70,娄底,冷江,Cluster_4,Outdoor,Macro,Suburban,111.421164,27.674886,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,3269,957.6855164,2028,0
71,Site71,娄底,冷江,Cluster_4,Indoor,Macro,Suburban,111.42108,27.67504,grid,0,0,0,12,375,0,non-Huawei,2013,0.83,0.83,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,4,,843,0,0.02,0,1300,1000,0,3269,957.6855164,2035,0
72,Site72,娄底,冷江,Cluster_4,Indoor,Macro,Suburban,111.57799,27.72837,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.85,0.85,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,4077,976.8609924,2024,0
73,Site73,娄底,冷江,Cluster_4,Indoor,Macro,Rural,111.47203,27.63906,grid+solar,12,400,7,0,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,1500,210,450,70,1200,7560,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2352,2728,959.1459961,2031,0
74,Site74,娄底,冷江,Cluster_4,Indoor,Macro,Rural,111.43211,27.64115,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,2724,961.3380127,2035,0
75,Site75,娄底,冷江,Cluster_4,Outdoor,Macro,Rural,111.41896,27.68553,grid,0,0,0,12,375,0,non-Huawei,2018,0.9,0.9,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3407,963.1640015,2024,0
76,Site76,娄底,冷江,Cluster_4,Outdoor,Macro,Rural,111.43089,27.72069,grid,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3935,960.7900085,2021,0
77,Site77,娄底,冷江,Cluster_4,Indoor,Macro,Rural,111.437331,27.697113,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,High-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,3,843,0,0.05,0.15,3702,3400,2019,3541,962.7990112,2026,0
78,Site78,娄底,冷江,Cluster_4,Outdoor,Macro,Rural,111.41975,27.68075,grid+generator,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery,FCS,450,70,450,70,0,8760,200,8560,200,8560,24,0,843,0,0.05,0.1,2542,2000,1454,3407,963.1640015,2030,0
79,Site79,娄底,冷江,Cluster_4,Outdoor,Macro,Urban,111.44051,27.71241,grid+generator,0,0,0,12,375,0,non-Huawei,2015,0.87,0.87,Lead-acid battery,Air condition+FCS,450,70,450,70,1200,7560,200,8560,200,8560,16,0,843,0,0.05,0.1,1836,1300,1454,3807,960.6079712,2034,0
80,Site80,娄底,冷江,Cluster_4,Indoor,Macro,Urban,111.54004,27.64201,grid,0,0,0,12,375,0,Huawei,2020,0.97,0.97,Li-battery+high-temperature lead-acid battery,FCS,1500,210,450,70,0,8760,200,8560,200,8560,35,1,843,0,0.05,0.1,3702,3400,1493,2735,969.3740234,2033,0
81,Site81,娄底,冷江,Cluster_4,Indoor,Macro,Urban,111.42386,27.68489,grid,0,0,0,12,375,0,non-Huawei,2013,0.85,0.85,Lead-acid battery,Air condition,1500,210,450,70,8760,0,200,8560,200,8560,22,1,843,0,0.05,0.1,3935,0,1493,3407,963.1640015,2025,0
